DATE,interest_rates,population(in_thousand),employment2pop_ratio,unemployment_rate,gdp_per_capita,housing_unit(in_thousand),avr_rent,price_proxy
1987-01-01,6.43,241857.0,61.0,6.6,37132.0,1774.0,121.2,63.965
1987-04-01,6.37,242338.0,61.3,6.3,37454.0,1614.0,122.2,65.132
1987-07-01,6.58,242908.0,61.6,6.1,37685.0,1575.0,123.0,66.507
1987-10-01,7.29,243543.0,61.8,6.0,38238.0,1515.0,124.6,67.738
1988-01-01,6.83,244056.0,62.0,5.7,38359.0,1271.0,125.9,68.858
1988-04-01,6.87,244528.0,62.2,5.4,38782.0,1573.0,126.9,69.977
1988-07-01,7.75,245131.0,62.3,5.4,38908.0,1467.0,127.9,71.354
1988-10-01,8.3,245789.0,62.5,5.4,39328.0,1522.0,129.1,72.63600000000001
1989-01-01,9.12,246301.0,62.9,5.4,39648.0,1621.0,130.4,73.947
1989-04-01,9.84,246814.0,62.9,5.2,39861.0,1339.0,131.6,75.085
1989-07-01,9.24,247458.0,63.0,5.2,40046.0,1427.0,133.0,75.657
1989-10-01,8.84,248174.0,62.9,5.3,40015.0,1410.0,134.4,76.283
1990-01-01,8.23,248743.0,63.2,5.4,40361.0,1551.0,135.8,76.89699999999999
1990-04-01,8.26,249436.0,63.0,5.4,40382.0,1248.0,137.2,77.278
1990-07-01,8.15,250285.0,62.8,5.5,40266.0,1171.0,138.7,77.139
1990-10-01,8.11,251201.0,62.5,5.9,39759.0,1014.0,140.2,76.699
1991-01-01,6.91,252012.0,62.0,6.4,39451.0,798.0,141.2,75.916
1991-04-01,5.91,252778.0,62.0,6.7,39632.0,1001.0,142.6,75.566
1991-07-01,5.82,253650.0,61.6,6.8,39691.0,1063.0,143.7,76.082
1991-10-01,5.21,254576.0,61.5,7.0,39694.0,1079.0,144.4,76.075
1992-01-01,4.03,255331.0,61.5,7.3,40051.0,1176.0,145.4,76.087
1992-04-01,3.73,256139.0,61.6,7.4,40350.0,1099.0,146.2,76.346
1992-07-01,3.25,257063.0,61.6,7.7,40599.0,1139.0,147.0,76.264
1992-10-01,3.1,258004.0,61.3,7.3,40881.0,1244.0,147.9,76.376
1993-01-01,3.02,258799.0,61.4,7.3,40829.0,1210.0,148.9,76.78399999999999
1993-04-01,2.96,259547.0,61.5,7.1,40942.0,1258.0,149.7,76.936
1993-07-01,3.06,260411.0,61.8,6.9,40997.0,1254.0,150.4,77.429
1993-10-01,2.99,261294.0,61.8,6.8,41423.0,1392.0,151.3,77.941
1994-01-01,3.05,262021.0,62.2,6.6,41713.0,1272.0,152.2,78.592
1994-04-01,3.56,262754.0,62.3,6.4,42154.0,1465.0,153.3,78.988
1994-07-01,4.26,263580.0,62.3,6.1,42264.0,1439.0,154.0,79.595
1994-10-01,4.76,264430.0,62.9,5.8,42618.0,1450.0,155.1,80.066
1995-01-01,5.53,265157.0,63.0,5.6,42654.0,1407.0,156.1,80.42699999999999
1995-04-01,6.05,265877.0,63.1,5.8,42660.0,1267.0,157.0,80.661
1995-07-01,5.85,266700.0,62.8,5.7,42885.0,1461.0,158.0,80.938
1995-10-01,5.76,267585.0,62.9,5.5,43044.0,1369.0,158.8,81.482
1996-01-01,5.56,268258.0,62.7,5.6,43259.0,1467.0,159.9,81.834
1996-04-01,5.22,268980.0,63.0,5.6,43856.0,1516.0,160.9,82.421
1996-07-01,5.4,269822.0,63.3,5.5,44105.0,1472.0,162.3,82.928
1996-10-01,5.24,270730.0,63.5,5.2,44421.0,1392.0,163.2,83.37700000000001
1997-01-01,5.25,271472.0,63.4,5.3,44590.0,1355.0,164.3,83.955
1997-04-01,5.51,272213.0,63.7,5.1,45203.0,1492.0,165.6,84.62299999999999
1997-07-01,5.52,273074.0,63.9,4.9,45616.0,1437.0,166.9,85.33200000000001
1997-10-01,5.5,273989.0,63.9,4.7,45862.0,1520.0,168.2,86.147
1998-01-01,5.56,274732.0,64.0,4.6,46204.0,1525.0,169.4,87.615
1998-04-01,5.45,275434.0,64.1,4.3,46504.0,1540.0,170.8,88.87899999999999
1998-07-01,5.54,276266.0,64.0,4.5,46943.0,1698.0,172.3,90.31
1998-10-01,5.07,277140.0,64.1,4.5,47555.0,1715.0,173.9,91.717
1999-01-01,4.63,277891.0,64.4,4.3,47880.0,1748.0,175.2,93.208
1999-04-01,4.74,278584.0,64.2,4.3,48148.0,1553.0,176.4,94.785
1999-07-01,4.99,279448.0,64.2,4.3,48632.0,1669.0,177.6,96.592
1999-10-01,5.2,280337.0,64.3,4.1,49281.0,1608.0,178.8,98.523
2000-01-01,5.45,281083.0,64.6,4.0,49335.0,1636.0,180.9,100.552
2000-04-01,6.02,281763.0,64.7,3.8,50109.0,1626.0,182.3,102.922
2000-07-01,6.54,282504.0,64.2,4.0,50024.0,1463.0,184.1,105.054
2000-10-01,6.51,283285.0,64.2,3.9,50190.0,1549.0,186.1,107.382
2001-01-01,5.98,283960.0,64.4,4.2,49911.0,1600.0,188.0,109.846
2001-04-01,4.8,284602.0,64.0,4.4,50105.0,1649.0,190.2,111.651
2001-07-01,3.77,285324.0,63.7,4.6,49774.0,1670.0,192.5,113.491
2001-10-01,2.49,286086.0,63.2,5.3,49783.0,1540.0,194.7,115.31
